fips,state,county,year,tot_pop,tot_male,tot_female,nh_male,nh_female,h_male,h_female,wa_male,wa_female,ba_male,ba_female,ia_male,ia_female,aa_male,aa_female,na_male,na_female,tom_male,tom_female,nhwa_male,nhwa_female,nhba_male,nhba_female,nhia_male,nhia_female,nhaa_male,nhaa_female,nhna_male,nhna_female,nhtom_male,nhtom_female,hwa_male,hwa_female,hba_male,hba_female,hia_male,hia_female,haa_male,haa_female,hna_male,hna_female,htom_male,htom_female,cx,cy
13089,13,089,2010,692902,331942,360960,293261,331528,38681,29432,129184,127887,175431,205897,2564,1745,18194,18258,290,227,6279,6946,98639,105388,171253,201752,621,621,17886,17994,141,115,4721,5658,30545,22499,4178,4145,1943,1124,308,264,149,112,1558,1288,894.3250328,506.754964
13091,13,091,2010,21775,11450,10325,10982,10071,468,254,7645,7144,3581,2973,49,44,57,51,14,4,104,109,7275,6971,3531,2919,18,26,54,49,3,1,101,105,370,173,50,54,31,18,3,2,11,3,3,4,925.6055649,549.8183756
13093,13,093,2010,14869,8033,6836,7504,6510,529,326,3915,3208,3954,3473,24,23,58,52,12,3,70,77,3462,2948,3911,3433,13,16,52,43,4,0,62,70,453,260,43,40,11,7,6,9,8,3,8,7,910.40777,552.143785
13095,13,095,2010,94577,43950,50627,42769,49673,1181,954,13854,14739,29031,34740,128,103,364,408,91,65,482,572,13130,14187,28777,34505,89,74,340,391,29,18,404,498,724,552,254,235,39,29,24,17,62,47,78,74,902.3523635,571.4798645
13097,13,097,2010,132722,63946,68776,58157,63355,5789,5421,36744,37313,24690,28649,247,258,934,1098,108,110,1223,1348,32041,33112,23954,27774,145,171,895,1044,71,80,1051,1174,4703,4201,736,875,102,87,39,54,37,30,172,174,881.5943512,510.3000535
13099,13,099,2010,10988,5191,5797,5103,5718,88,79,2594,2749,2503,2947,29,31,27,25,2,0,36,45,2523,2693,2496,2931,22,24,27,25,0,0,35,45,71,56,7,16,7,7,0,0,2,0,1,0,886.4992549,579.6434963
13101,13,101,2010,4050,2042,2008,1392,1483,650,525,1847,1804,88,117,58,46,12,13,5,1,32,27,1237,1326,81,99,31,20,12,12,1,0,30,26,610,478,7,18,27,26,0,1,4,1,2,1,938.103771,590.9101965
13103,13,103,2010,52436,26103,26333,25259,25640,844,693,21892,21904,3493,3637,89,94,186,264,18,14,425,420,21177,21321,3441,3592,60,70,178,259,8,8,395,390,715,583,52,45,29,24,8,5,10,6,30,30,968.8069392,537.6576454
13105,13,105,2010,20112,9619,10493,9095,10060,524,433,6685,7023,2735,3256,34,34,66,67,10,5,89,108,6248,6662,2685,3209,20,22,58,61,3,3,81,103,437,361,50,47,14,12,8,6,7,2,8,5,926.0428575,492.4728204
13107,13,107,2010,22664,11063,11601,10514,11222,549,379,7179,7387,3656,3996,52,37,82,80,4,3,90,98,6722,7070,3605,3963,28,26,78,79,1,2,80,82,457,317,51,33,24,11,4,1,3,1,10,16,944.9293359,534.6793297
